post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_datetime,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,engagement_rate,followers_gained,caption_length,hashtags_count,performance_bucket_label,engagement_rate_pct
IG0000341,11,creator,9044,reel,Technology,Explore,0,2025-07-08 14:00:00,2025-07-08,14,Tuesday,985,18,43,153,23142,36905,0.0325,698,119,11,medium,3.25
IG0000348,7,creator,3551,reel,Technology,Reels Feed,1,2025-08-12 14:00:00,2025-08-12,14,Tuesday,119,0,1,24,4150,4982,0.0289,802,132,4,medium,2.89
IG0000351,13,creator,5824,carousel,Technology,Profile,0,2024-12-16 03:00:00,2024-12-16,3,Monday,188,5,6,33,5270,7690,0.0302,968,131,6,medium,3.02
IG0000370,2,creator,22291,reel,Technology,External,0,2025-11-14 23:00:00,2025-11-14,23,Friday,278,9,15,36,4556,5489,0.0616,608,126,4,viral,6.16
IG0000375,16,creator,9696,image,Technology,Profile,0,2025-08-15 12:00:00,2025-08-15,12,Friday,76,5,2,10,1379,1755,0.053,961,121,8,high,5.3
IG0000385,15,brand,8167,image,Technology,External,0,2025-07-11 09:00:00,2025-07-11,9,Friday,374,13,24,64,6028,7780,0.0611,974,122,6,viral,6.11
IG0000390,12,brand,13798,image,Technology,Hashtags,0,2025-10-31 12:00:00,2025-10-31,12,Friday,67,3,1,11,6327,9033,0.0091,560,112,8,low,0.91
IG0000403,19,brand,3447,carousel,Technology,Profile,0,2025-04-26 01:00:00,2025-04-26,1,Saturday,452,9,17,86,9384,14022,0.0402,227,122,12,medium,4.02
IG0000406,13,creator,5824,image,Technology,Home Feed,0,2025-10-01 01:00:00,2025-10-01,1,Wednesday,418,14,23,60,10037,14927,0.0345,55,130,9,medium,3.45
IG0000420,5,creator,10739,carousel,Technology,Profile,1,2025-08-03 08:00:00,2025-08-03,8,Sunday,88,4,5,17,3054,4691,0.0243,176,99,9,low,2.43
IG0000424,1,creator,9461,image,Technology,Explore,1,2025-11-15 03:00:00,2025-11-15,3,Saturday,254,9,16,54,5365,7510,0.0443,334,136,8,medium,4.43
IG0000441,9,creator,6916,reel,Technology,Explore,1,2025-01-17 10:00:00,2025-01-17,10,Friday,350,8,15,55,15208,21284,0.0201,362,115,14,low,2.01
IG0000461,12,creator,13798,carousel,Technology,Reels Feed,0,2025-11-13 11:00:00,2025-11-13,11,Thursday,425,12,18,54,8635,12863,0.0396,60,132,2,medium,3.96
IG0000471,19,creator,3447,image,Technology,Reels Feed,1,2025-06-30 01:00:00,2025-06-30,1,Monday,70,0,5,12,1118,1640,0.053,905,140,5,high,5.3
IG0000492,13,creator,5824,reel,Technology,Home Feed,0,2024-12-07 17:00:00,2024-12-07,17,Saturday,227,9,15,39,3349,3974,0.073,710,130,6,viral,7.3
IG0000494,7,brand,3551,image,Technology,External,1,2025-05-22 16:00:00,2025-05-22,16,Thursday,372,7,17,48,9915,11531,0.0385,276,141,12,medium,3.85
IG0000497,3,creator,10018,carousel,Technology,Profile,0,2025-07-09 10:00:00,2025-07-09,10,Wednesday,45,0,1,4,1234,1961,0.0255,410,91,7,medium,2.55
IG0000498,11,creator,9044,image,Technology,Home Feed,0,2025-07-10 16:00:00,2025-07-10,16,Thursday,86,0,4,12,2557,3204,0.0318,185,135,10,medium,3.18
IG0000513,9,creator,6916,image,Technology,External,0,2025-01-16 23:00:00,2025-01-16,23,Thursday,302,10,18,41,4330,6565,0.0565,494,122,5,high,5.65
IG0000525,17,creator,15923,image,Technology,Profile,0,2025-03-06 12:00:00,2025-03-06,12,Thursday,119,7,3,17,3813,6002,0.0243,92,128,6,medium,2.43
IG0000527,13,creator,5824,image,Technology,Explore,0,2025-08-03 21:00:00,2025-08-03,21,Sunday,118,3,7,8,2776,4102,0.0332,776,118,5,medium,3.32
IG0000531,19,creator,3447,reel,Technology,Profile,0,2025-05-14 10:00:00,2025-05-14,10,Wednesday,201,0,11,24,5102,5899,0.04,337,122,14,medium,4.0
IG0000535,19,creator,3447,carousel,Technology,Explore,1,2025-01-25 16:00:00,2025-01-25,16,Saturday,365,9,27,71,10655,15439,0.0306,977,127,4,medium,3.06
IG0000542,8,creator,15986,carousel,Technology,Hashtags,1,2025-03-17 20:00:00,2025-03-17,20,Monday,289,3,13,43,4064,5891,0.0591,952,141,8,viral,5.91
IG0000558,5,creator,10739,carousel,Technology,Home Feed,1,2025-01-08 19:00:00,2025-01-08,19,Wednesday,136,3,5,20,6667,9065,0.0181,763,121,9,low,1.81
IG0000565,9,brand,6916,reel,Technology,Hashtags,0,2025-07-01 13:00:00,2025-07-01,13,Tuesday,0,5,6,11,2786,3081,0.0071,539,125,4,medium,0.71
IG0000569,1,creator,9461,carousel,Technology,Reels Feed,1,2025-05-03 09:00:00,2025-05-03,9,Saturday,865,29,51,128,11846,15524,0.0691,950,129,5,viral,6.91
IG0000576,8,creator,15986,reel,Technology,Explore,0,2025-05-22 04:00:00,2025-05-22,4,Thursday,75,2,1,11,2543,3517,0.0253,374,122,11,medium,2.53
IG0000605,1,creator,9461,carousel,Technology,Reels Feed,0,2025-05-03 23:00:00,2025-05-03,23,Saturday,152,9,6,27,3675,4766,0.0407,904,99,7,high,4.07
IG0000639,1,creator,9461,reel,Technology,Explore,0,2025-06-03 04:00:00,2025-06-03,4,Tuesday,669,24,34,107,9604,14471,0.0576,470,130,8,viral,5.76
IG0000657,14,brand,3083,reel,Technology,External,1,2025-10-21 23:00:00,2025-10-21,23,Tuesday,150,6,7,18,7667,10114,0.0179,260,119,5,low,1.79
IG0000665,18,brand,7486,reel,Technology,Explore,0,2025-09-22 07:00:00,2025-09-22,7,Monday,190,0,9,20,5216,7973,0.0275,655,119,10,medium,2.75
IG0000683,17,creator,15923,image,Technology,Profile,1,2025-07-29 13:00:00,2025-07-29,13,Tuesday,39,1,2,0,1576,1823,0.023,32,114,5,medium,2.3
IG0000696,16,creator,9696,carousel,Technology,Reels Feed,1,2025-05-08 15:00:00,2025-05-08,15,Thursday,114,7,1,25,2979,3783,0.0389,824,131,12,high,3.89
IG0000701,8,brand,15986,reel,Technology,Explore,1,2025-10-20 07:00:00,2025-10-20,7,Monday,407,13,17,67,5233,5799,0.0869,431,110,7,viral,8.69
IG0000715,12,creator,13798,image,Technology,Explore,1,2025-09-17 09:00:00,2025-09-17,9,Wednesday,157,4,11,24,2194,3486,0.0562,206,129,9,high,5.62
IG0000735,14,creator,3083,image,Technology,Hashtags,0,2025-03-21 05:00:00,2025-03-21,5,Friday,610,18,32,70,7683,9206,0.0793,38,136,3,viral,7.93
IG0000736,14,creator,3083,carousel,Technology,Hashtags,1,2025-03-09 00:00:00,2025-03-09,0,Sunday,128,3,7,20,5725,7299,0.0216,896,119,4,low,2.16
IG0000781,6,brand,10034,image,Technology,Explore,0,2025-11-08 00:00:00,2025-11-08,0,Saturday,259,8,16,27,7396,8859,0.035,584,113,4,medium,3.5
IG0000787,1,creator,9461,carousel,Technology,Profile,0,2025-04-20 12:00:00,2025-04-20,12,Sunday,511,16,21,86,8232,11327,0.056,419,129,14,high,5.6
IG0000789,6,creator,10034,carousel,Technology,Home Feed,1,2025-02-25 19:00:00,2025-02-25,19,Tuesday,363,7,20,69,7835,10660,0.0431,688,146,6,high,4.31
IG0000796,8,creator,15986,reel,Technology,External,0,2025-07-15 22:00:00,2025-07-15,22,Tuesday,130,3,4,25,4773,7132,0.0227,131,115,8,low,2.27
IG0000799,6,brand,10034,image,Technology,Hashtags,0,2025-11-05 06:00:00,2025-11-05,6,Wednesday,386,7,18,56,12539,16469,0.0284,103,111,8,medium,2.84
IG0000802,11,creator,9044,carousel,Technology,Reels Feed,1,2025-02-04 01:00:00,2025-02-04,1,Tuesday,373,8,23,73,5396,7567,0.063,821,124,11,viral,6.3
IG0000838,10,creator,4542,image,Technology,External,1,2025-08-21 04:00:00,2025-08-21,4,Thursday,304,9,12,58,5364,6959,0.055,963,117,4,high,5.5
IG0000841,12,creator,13798,image,Technology,Reels Feed,0,2025-05-11 03:00:00,2025-05-11,3,Sunday,183,4,10,26,2954,3671,0.0607,367,130,6,viral,6.07
IG0000843,13,creator,5824,image,Technology,Home Feed,0,2025-07-20 17:00:00,2025-07-20,17,Sunday,157,8,7,28,2451,3778,0.0529,68,104,10,high,5.29
IG0000887,14,creator,3083,carousel,Technology,Profile,1,2025-06-25 00:00:00,2025-06-25,0,Wednesday,658,18,33,101,8281,9697,0.0835,721,125,8,viral,8.35
IG0000900,19,creator,3447,image,Technology,External,1,2025-07-17 14:00:00,2025-07-17,14,Thursday,496,14,16,64,6926,8454,0.0698,901,111,10,viral,6.98
IG0000930,4,creator,4972,carousel,Technology,Explore,0,2025-08-03 20:00:00,2025-08-03,20,Sunday,489,16,21,78,15089,19125,0.0316,659,123,3,medium,3.16
IG0000935,5,creator,10739,image,Technology,Reels Feed,1,2025-10-05 17:00:00,2025-10-05,17,Sunday,35,1,3,1,3324,4878,0.0082,248,118,13,low,0.82
IG0000940,2,creator,22291,reel,Technology,Reels Feed,0,2025-08-04 21:00:00,2025-08-04,21,Monday,80,6,5,10,4524,5978,0.0169,499,114,6,low,1.69
IG0000946,5,creator,10739,image,Technology,Hashtags,0,2024-12-16 05:00:00,2024-12-16,5,Monday,68,2,3,9,1250,1459,0.0562,723,131,3,high,5.62
IG0000951,6,creator,10034,image,Technology,Profile,0,2025-01-27 16:00:00,2025-01-27,16,Monday,277,6,14,47,5531,8327,0.0413,821,119,8,high,4.13
IG0000958,13,creator,5824,image,Technology,Home Feed,1,2025-05-21 23:00:00,2025-05-21,23,Wednesday,109,4,4,16,1765,2178,0.0611,788,140,10,viral,6.11
IG0000964,11,brand,9044,reel,Technology,Profile,1,2025-03-05 05:00:00,2025-03-05,5,Wednesday,21,0,1,1,1194,1768,0.013,832,109,10,low,1.3
IG0000995,9,creator,6916,carousel,Technology,External,0,2025-02-16 13:00:00,2025-02-16,13,Sunday,579,18,24,77,8092,11095,0.0629,385,124,12,viral,6.29
IG0001018,20,creator,31095,image,Technology,Reels Feed,0,2025-08-20 23:00:00,2025-08-20,23,Wednesday,65,2,3,11,1726,2051,0.0395,586,113,7,medium,3.95
IG0001025,1,creator,9461,carousel,Technology,Profile,0,2025-03-09 16:00:00,2025-03-09,16,Sunday,33,0,3,3,504,564,0.0691,359,141,8,viral,6.91
IG0001029,17,creator,15923,reel,Technology,Hashtags,1,2025-02-24 16:00:00,2025-02-24,16,Monday,583,20,38,97,10608,14640,0.0504,964,102,7,high,5.04
IG0001048,7,creator,3551,reel,Technology,Reels Feed,0,2025-01-05 03:00:00,2025-01-05,3,Sunday,100,4,9,17,2360,2741,0.0474,220,114,4,high,4.74
IG0001056,18,brand,7486,image,Technology,Hashtags,0,2025-01-02 23:00:00,2025-01-02,23,Thursday,57,2,6,10,3542,3971,0.0189,197,125,3,low,1.89
IG0001068,8,brand,15986,image,Technology,Profile,0,2025-06-10 20:00:00,2025-06-10,20,Tuesday,75,2,6,12,4916,6623,0.0143,758,122,6,low,1.43
IG0001078,14,creator,3083,image,Technology,Home Feed,0,2025-09-10 21:00:00,2025-09-10,21,Wednesday,638,19,37,96,8499,9554,0.0827,862,112,6,viral,8.27
IG0001080,18,creator,7486,image,Technology,Home Feed,1,2025-08-28 08:00:00,2025-08-28,8,Thursday,150,0,6,26,12456,18297,0.0099,774,107,13,low,0.99
IG0001100,20,brand,31095,image,Technology,Profile,0,2025-07-31 08:00:00,2025-07-31,8,Thursday,1871,56,94,290,24101,27359,0.0845,452,109,4,viral,8.45
IG0001101,5,creator,10739,carousel,Technology,Explore,0,2025-07-31 17:00:00,2025-07-31,17,Thursday,57,1,2,9,3565,4498,0.0153,795,110,5,low,1.53
IG0001108,20,brand,31095,image,Technology,Reels Feed,1,2025-03-16 12:00:00,2025-03-16,12,Sunday,126,0,10,21,1957,2683,0.0585,298,125,3,viral,5.85
IG0001109,12,brand,13798,image,Technology,Profile,1,2025-06-11 00:00:00,2025-06-11,0,Wednesday,402,11,18,0,7637,9221,0.0467,989,126,11,high,4.67
IG0001111,10,creator,4542,reel,Technology,Profile,1,2024-12-11 13:00:00,2024-12-11,13,Wednesday,642,16,29,98,8375,13391,0.0586,773,104,6,viral,5.86
IG0001115,19,creator,3447,carousel,Technology,Hashtags,0,2025-02-17 19:00:00,2025-02-17,19,Monday,328,10,14,54,8136,9649,0.0421,328,138,9,high,4.21
IG0001118,9,creator,6916,image,Technology,Explore,1,2025-10-23 14:00:00,2025-10-23,14,Thursday,470,15,21,68,11326,14225,0.0404,183,149,7,medium,4.04
IG0001136,6,creator,10034,reel,Technology,External,0,2025-05-18 03:00:00,2025-05-18,3,Sunday,126,3,5,23,4631,6620,0.0237,70,112,12,low,2.37
IG0001138,17,creator,15923,carousel,Technology,Reels Feed,0,2025-04-20 14:00:00,2025-04-20,14,Sunday,70,2,6,9,6430,9574,0.0091,404,123,7,low,0.91
IG0001140,6,brand,10034,carousel,Technology,Hashtags,0,2025-03-15 07:00:00,2025-03-15,7,Saturday,381,13,26,62,6962,8778,0.0549,691,137,7,high,5.49
IG0001142,10,brand,4542,image,Technology,Reels Feed,0,2024-12-25 07:00:00,2024-12-25,7,Wednesday,482,0,22,75,15140,21611,0.0268,200,138,8,medium,2.68
IG0001155,1,brand,9461,carousel,Technology,Hashtags,0,2024-11-26 03:00:00,2024-11-26,3,Tuesday,119,5,8,17,2684,4005,0.0372,613,129,12,medium,3.72
IG0001156,19,creator,3447,carousel,Technology,Explore,1,2025-06-14 11:00:00,2025-06-14,11,Saturday,207,5,11,35,8236,12079,0.0214,465,95,11,low,2.14
IG0001172,15,creator,8167,reel,Technology,Explore,1,2025-10-24 23:00:00,2025-10-24,23,Friday,12,1,1,0,537,813,0.0172,95,133,6,low,1.72
IG0001181,2,creator,22291,carousel,Technology,Hashtags,0,2025-06-18 05:00:00,2025-06-18,5,Wednesday,63,1,4,8,2102,3078,0.0247,497,137,5,medium,2.47
IG0001189,11,brand,9044,carousel,Technology,External,0,2025-05-19 07:00:00,2025-05-19,7,Monday,62,2,1,11,3572,5388,0.0141,64,106,9,low,1.41
IG0001204,5,brand,10739,image,Technology,Home Feed,0,2024-11-23 20:00:00,2024-11-23,20,Saturday,717,22,45,99,17107,25226,0.035,107,134,8,medium,3.5
IG0001215,17,creator,15923,carousel,Technology,Profile,0,2025-09-15 03:00:00,2025-09-15,3,Monday,172,7,11,23,2322,3039,0.0701,73,125,9,viral,7.01
IG0001233,7,creator,3551,carousel,Technology,Explore,1,2025-07-28 11:00:00,2025-07-28,11,Monday,608,17,30,98,10210,12381,0.0608,186,126,6,viral,6.08
IG0001238,18,brand,7486,reel,Technology,External,1,2025-06-01 22:00:00,2025-06-01,22,Sunday,363,10,14,53,5632,8377,0.0525,667,117,6,high,5.25
IG0001266,10,creator,4542,image,Technology,Home Feed,1,2024-12-15 01:00:00,2024-12-15,1,Sunday,294,7,8,48,4266,6297,0.0567,827,121,7,viral,5.67
IG0001280,12,creator,13798,reel,Technology,Reels Feed,1,2025-09-29 06:00:00,2025-09-29,6,Monday,382,11,16,46,9551,14623,0.0311,261,134,7,medium,3.11
IG0001287,5,creator,10739,image,Technology,External,1,2025-07-20 07:00:00,2025-07-20,7,Sunday,349,6,13,66,7276,8878,0.0489,865,121,7,high,4.89
IG0001299,14,creator,3083,image,Technology,Hashtags,0,2025-10-03 15:00:00,2025-10-03,15,Friday,606,19,24,87,7947,10506,0.0701,544,111,12,viral,7.01
IG0001301,9,creator,6916,carousel,Technology,Home Feed,1,2025-10-20 12:00:00,2025-10-20,12,Monday,141,1,9,17,6727,9623,0.0175,775,108,3,low,1.75
IG0001306,5,creator,10739,image,Technology,External,1,2025-05-18 06:00:00,2025-05-18,6,Sunday,261,5,16,33,4187,6637,0.0475,16,116,7,high,4.75
IG0001308,11,creator,9044,carousel,Technology,External,0,2025-10-26 03:00:00,2025-10-26,3,Sunday,223,8,12,25,3802,5569,0.0481,162,114,8,high,4.81
IG0001313,13,creator,5824,reel,Technology,Reels Feed,1,2025-05-30 10:00:00,2025-05-30,10,Friday,51,2,1,7,3538,3973,0.0154,451,117,7,low,1.54
IG0001316,20,creator,31095,reel,Technology,Profile,1,2025-01-16 16:00:00,2025-01-16,16,Thursday,89,2,5,14,2460,2750,0.04,888,119,11,high,4.0
IG0001320,19,creator,3447,reel,Technology,External,0,2025-09-18 06:00:00,2025-09-18,6,Thursday,264,4,13,45,7475,9048,0.036,135,119,6,medium,3.6
IG0001329,6,creator,10034,carousel,Technology,Explore,0,2025-02-11 02:00:00,2025-02-11,2,Tuesday,22,2,2,4,1614,2078,0.0144,182,116,10,low,1.44
IG0001330,5,brand,10739,image,Technology,Home Feed,0,2024-11-27 07:00:00,2024-11-27,7,Wednesday,70,2,3,9,4737,6736,0.0125,26,118,10,low,1.25
IG0001331,5,creator,10739,image,Technology,Home Feed,0,2025-04-22 13:00:00,2025-04-22,13,Tuesday,567,9,27,105,8500,11011,0.0643,31,100,7,low,6.43
IG0001341,18,creator,7486,image,Technology,Profile,0,2025-01-08 10:00:00,2025-01-08,10,Wednesday,374,12,16,64,7481,11654,0.04,846,141,11,medium,4.0
IG0001345,6,creator,10034,carousel,Technology,Home Feed,1,2025-10-10 17:00:00,2025-10-10,17,Friday,206,2,12,23,3422,5441,0.0447,664,117,9,high,4.47
IG0001348,9,creator,6916,carousel,Technology,Profile,0,2025-06-10 14:00:00,2025-06-10,14,Tuesday,405,14,20,60,5626,6293,0.0793,169,117,5,viral,7.93
IG0001357,3,creator,10018,reel,Technology,Explore,0,2025-08-07 18:00:00,2025-08-07,18,Thursday,613,0,43,91,8450,12989,0.0575,572,131,9,viral,5.75
IG0001380,18,brand,7486,carousel,Technology,Hashtags,0,2025-09-30 21:00:00,2025-09-30,21,Tuesday,196,7,10,31,4657,5746,0.0425,830,107,7,medium,4.25
IG0001385,8,creator,15986,reel,Technology,Explore,1,2025-07-16 18:00:00,2025-07-16,18,Wednesday,374,13,17,67,5286,8300,0.0567,156,117,15,high,5.67
IG0001406,11,creator,9044,reel,Technology,Home Feed,1,2025-11-01 14:00:00,2025-11-01,14,Saturday,489,18,20,81,7170,10383,0.0586,575,122,14,viral,5.86
IG0001472,13,creator,5824,reel,Technology,Profile,1,2025-03-09 17:00:00,2025-03-09,17,Sunday,264,5,18,41,8270,12365,0.0265,658,111,10,medium,2.65
IG0001477,20,creator,31095,carousel,Technology,Home Feed,1,2025-09-25 21:00:00,2025-09-25,21,Thursday,178,7,2,32,6143,9011,0.0243,853,109,10,medium,2.43
IG0001481,20,creator,31095,reel,Technology,Profile,0,2024-12-28 06:00:00,2024-12-28,6,Saturday,88,1,3,11,1432,1693,0.0608,850,132,12,viral,6.08
IG0001485,12,creator,13798,image,Technology,External,0,2025-11-07 10:00:00,2025-11-07,10,Friday,227,10,8,29,3253,4771,0.0574,569,115,7,high,5.74
IG0001496,15,creator,8167,image,Technology,Home Feed,1,2025-02-26 15:00:00,2025-02-26,15,Wednesday,41,0,0,6,2852,4030,0.0117,773,141,5,low,1.17
IG0001521,7,creator,3551,image,Technology,Hashtags,0,2025-06-23 22:00:00,2025-06-23,22,Monday,230,11,7,36,4533,5742,0.0495,356,121,12,high,4.95
IG0001526,9,creator,6916,image,Technology,Home Feed,1,2025-09-29 23:00:00,2025-09-29,23,Monday,207,0,4,36,2967,3315,0.0745,832,115,3,viral,7.45
IG0001534,8,brand,15986,reel,Technology,Profile,0,2025-02-13 05:00:00,2025-02-13,5,Thursday,233,6,12,38,5349,6526,0.0443,807,108,10,high,4.43
IG0001535,18,brand,7486,image,Technology,Profile,0,2025-08-22 11:00:00,2025-08-22,11,Friday,144,6,4,19,3730,4210,0.0411,157,125,10,high,4.11
IG0001567,20,creator,31095,reel,Technology,External,1,2025-09-04 13:00:00,2025-09-04,13,Thursday,45,1,1,9,1755,2695,0.0208,926,134,10,low,2.08
IG0001575,2,creator,22291,reel,Technology,Home Feed,0,2025-11-12 12:00:00,2025-11-12,12,Wednesday,184,4,11,35,2544,2979,0.0785,833,132,7,viral,7.85
IG0001622,19,creator,3447,carousel,Technology,Explore,0,2025-10-04 18:00:00,2025-10-04,18,Saturday,165,8,9,18,3438,4455,0.0449,351,119,5,high,4.49
IG0001625,3,creator,10018,carousel,Technology,External,0,2025-09-13 10:00:00,2025-09-13,10,Saturday,129,2,8,0,9567,11660,0.0119,334,116,8,low,1.19
IG0001631,7,creator,3551,reel,Technology,Explore,0,2025-02-17 17:00:00,2025-02-17,17,Monday,118,3,5,17,4144,4898,0.0292,340,118,6,medium,2.92
IG0001639,18,creator,7486,carousel,Technology,External,0,2024-12-03 10:00:00,2024-12-03,10,Tuesday,186,2,5,28,3044,4825,0.0458,448,104,7,high,4.58
IG0001646,2,creator,22291,reel,Technology,Profile,1,2025-07-27 13:00:00,2025-07-27,13,Sunday,156,1,10,30,2982,3929,0.0501,795,96,11,high,5.01
IG0001658,18,creator,7486,carousel,Technology,Profile,1,2025-04-17 15:00:00,2025-04-17,15,Thursday,114,4,5,16,3598,4287,0.0324,102,114,6,medium,3.24
IG0001663,8,creator,15986,image,Technology,Explore,1,2025-02-09 01:00:00,2025-02-09,1,Sunday,70,2,7,10,1256,1708,0.0521,30,101,7,high,5.21
